STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,tract,density_q,county_fips
25,017,336202,25017336202,1400000US25017336202,3362.02,Census Tract 3362.02,G5020,S,1057126,0,+42.4612832,-071.0549338,25017336202,Q4_high,25017
25,017,330102,25017330102,1400000US25017330102,3301.02,Census Tract 3301.02,G5020,S,9782616,68833,+42.5784007,-071.0844481,25017330102,Q1_low,25017
25,017,339101,25017339101,1400000US25017339101,3391.01,Census Tract 3391.01,G5020,S,875342,15666,+42.4203623,-071.1105792,25017339101,Q4_high,25017
25,017,356703,25017356703,1400000US25017356703,3567.03,Census Tract 3567.03,G5020,S,1106008,404985,+42.4095378,-071.1574723,25017356703,Q3,25017
25,017,330202,25017330202,1400000US25017330202,3302.02,Census Tract 3302.02,G5020,S,7276186,446272,+42.5753419,-071.1260542,25017330202,Q3,25017
25,017,330201,25017330201,1400000US25017330201,3302.01,Census Tract 3302.01,G5020,S,5742269,27401,+42.5787680,-071.1061546,25017330201,Q2,25017
25,017,385203,25017385203,1400000US25017385203,3852.03,Census Tract 3852.03,G5020,S,5194602,71575,+42.2446606,-071.4354475,25017385203,Q2,25017
25,017,332401,25017332401,1400000US25017332401,3324.01,Census Tract 3324.01,G5020,S,5303906,4083,+42.4908918,-071.2079529,25017332401,Q4_high,25017
25,017,332202,25017332202,1400000US25017332202,3322.02,Census Tract 3322.02,G5020,S,5672825,251541,+42.5082759,-071.1799028,25017332202,Q3,25017
25,017,333602,25017333602,1400000US25017333602,3336.02,Census Tract 3336.02,G5020,S,4343605,15255,+42.5100768,-071.1570818,25017333602,Q4_high,25017
25,017,330101,25017330101,1400000US25017330101,3301.01,Census Tract 3301.01,G5020,S,11274881,316553,+42.5874348,-071.0499574,25017330101,Q1_low,25017
25,017,350106,25017350106,1400000US25017350106,3501.06,Census Tract 3501.06,G5020,S,672015,156801,+42.3936294,-071.0798211,25017350106,Q4_high,25017
25,017,373901,25017373901,1400000US25017373901,3739.01,Census Tract 3739.01,G5020,S,2000192,0,+42.3027698,-071.1790574,25017373901,Q2,25017
25,017,332402,25017332402,1400000US25017332402,3324.02,Census Tract 3324.02,G5020,S,6254012,36736,+42.4777173,-071.1952051,25017332402,Q4_high,25017
25,017,336201,25017336201,1400000US25017336201,3362.01,Census Tract 3362.01,G5020,S,1415213,0,+42.4684449,-071.0528271,25017336201,Q2,25017
25,017,373902,25017373902,1400000US25017373902,3739.02,Census Tract 3739.02,G5020,S,2414273,0,+42.3126917,-071.1852347,25017373902,Q3,25017
25,017,350701,25017350701,1400000US25017350701,3507.01,Census Tract 3507.01,G5020,S,331535,0,+42.4055536,-071.1290544,25017350701,Q3,25017
25,017,341302,25017341302,1400000US25017341302,3413.02,Census Tract 3413.02,G5020,S,331243,7458,+42.4341447,-071.0692365,25017341302,Q3,25017
25,017,339803,25017339803,1400000US25017339803,3398.03,Census Tract 3398.03,G5020,S,757033,196154,+42.4055646,-071.0777105,25017339803,Q4_high,25017
25,017,341301,25017341301,1400000US25017341301,3413.01,Census Tract 3413.01,G5020,S,1088478,37804,+42.4222878,-071.0712551,25017341301,Q4_high,25017
25,017,354902,25017354902,1400000US25017354902,3549.02,Census Tract 3549.02,G5020,S,629379,14259,+42.3946771,-071.1357395,25017354902,Q3,25017
25,017,342402,25017342402,1400000US25017342402,3424.02,Census Tract 3424.02,G5020,S,3515376,634290,+42.3983216,-071.0628461,25017342402,Q4_high,25017
25,017,370103,25017370103,1400000US25017370103,3701.03,Census Tract 3701.03,G5020,S,643988,25693,+42.3684134,-071.1878650,25017370103,Q4_high,25017
25,017,341903,25017341903,1400000US25017341903,3419.03,Census Tract 3419.03,G5020,S,1392267,1758,+42.4392859,-071.0317510,25017341903,Q3,25017
25,017,354601,25017354601,1400000US25017354601,3546.01,Census Tract 3546.01,G5020,S,767347,4512,+42.3908450,-071.1491066,25017354601,Q4_high,25017
25,017,370301,25017370301,1400000US25017370301,3703.01,Census Tract 3703.01,G5020,S,1694426,7106,+42.3714567,-071.1500991,25017370301,Q3,25017
25,017,325102,25017325102,1400000US25017325102,3251.02,Census Tract 3251.02,G5020,S,12161306,437332,+42.5633722,-071.5960355,25017325102,Q2,25017
25,017,360300,25017360300,1400000US25017360300,3603,Census Tract 3603,G5020,S,36038219,1951692,+42.4255064,-071.3108115,25017360300,Q1_low,25017
25,011,041301,25011041301,1400000US25011041301,413.01,Census Tract 413.01,G5020,S,1174093,0,+42.5932692,-072.6035882,25011041301,Q4_high,25011
25,011,041302,25011041302,1400000US25011041302,413.02,Census Tract 413.02,G5020,S,1186032,25301,+42.5869631,-072.5996903,25011041302,Q4_high,25011
25,017,385102,25017385102,1400000US25017385102,3851.02,Census Tract 3851.02,G5020,S,10675019,196459,+42.2762835,-071.4818797,25017385102,Q1_low,25017
25,017,385204,25017385204,1400000US25017385204,3852.04,Census Tract 3852.04,G5020,S,3743435,36143,+42.2578906,-071.4442510,25017385204,Q2,25017
25,017,354602,25017354602,1400000US25017354602,3546.02,Census Tract 3546.02,G5020,S,726877,2158,+42.3876828,-071.1359698,25017354602,Q4_high,25017
25,017,342302,25017342302,1400000US25017342302,3423.02,Census Tract 3423.02,G5020,S,395320,0,+42.4119560,-071.0639722,25017342302,Q3,25017
25,017,325101,25017325101,1400000US25017325101,3251.01,Census Tract 3251.01,G5020,S,11015118,1000144,+42.5615929,-071.5487513,25017325101,Q2,25017
25,017,370403,25017370403,1400000US25017370403,3704.03,Census Tract 3704.03,G5020,S,490412,20802,+42.3624184,-071.1873584,25017370403,Q4_high,25017
25,017,370402,25017370402,1400000US25017370402,3704.02,Census Tract 3704.02,G5020,S,589581,139743,+42.3627382,-071.1764284,25017370402,Q4_high,25017
25,017,370302,25017370302,1400000US25017370302,3703.02,Census Tract 3703.02,G5020,S,1158346,83061,+42.3636899,-071.1550322,25017370302,Q4_high,25017
25,017,351002,25017351002,1400000US25017351002,3510.02,Census Tract 3510.02,G5020,S,273796,0,+42.3917270,-071.1114409,25017351002,Q3,25017
25,017,351001,25017351001,1400000US25017351001,3510.01,Census Tract 3510.01,G5020,S,394407,0,+42.3872503,-071.1137193,25017351001,Q3,25017
25,017,383904,25017383904,1400000US25017383904,3839.04,Census Tract 3839.04,G5020,S,10316986,40882,+42.3411448,-071.4472708,25017383904,Q1_low,25017
25,017,384004,25017384004,1400000US25017384004,3840.04,Census Tract 3840.04,G5020,S,1455964,448391,+42.2981977,-071.4576599,25017384004,Q2,25017
25,017,384003,25017384003,1400000US25017384003,3840.03,Census Tract 3840.03,G5020,S,7462965,832104,+42.2878081,-071.4697809,25017384003,Q4_high,25017
25,017,385101,25017385101,1400000US25017385101,3851.01,Census Tract 3851.01,G5020,S,6688816,383017,+42.2568636,-071.4918893,25017385101,Q1_low,25017
25,017,359400,25017359400,1400000US25017359400,3594,Census Tract 3594,G5020,S,576837,27034,+42.3636223,-071.1121707,25017359400,Q4_high,25017
25,017,350202,25017350202,1400000US25017350202,3502.02,Census Tract 3502.02,G5020,S,430779,0,+42.3923295,-071.0988571,25017350202,Q3,25017
25,017,350201,25017350201,1400000US25017350201,3502.01,Census Tract 3502.01,G5020,S,246382,0,+42.3893543,-071.0925821,25017350201,Q4_high,25017
25,017,356704,25017356704,1400000US25017356704,3567.04,Census Tract 3567.04,G5020,S,1234258,8755,+42.4145126,-071.1661326,25017356704,Q3,25017
