"sector","industry","density_q","r_m","M_obs"
"CNS05","Manufacturing","Q1_low",0,0
"CNS05","Manufacturing","Q1_low",50,0
"CNS05","Manufacturing","Q1_low",100,0.0078632114406748
"CNS05","Manufacturing","Q1_low",150,0.0641576730554079
"CNS05","Manufacturing","Q1_low",200,0.0861402856969301
"CNS05","Manufacturing","Q1_low",250,0.125072585071098
"CNS05","Manufacturing","Q1_low",300,0.172301927704136
"CNS05","Manufacturing","Q1_low",350,0.25871595375427
"CNS05","Manufacturing","Q1_low",400,0.293428016087588
"CNS05","Manufacturing","Q1_low",450,0.383899447528917
"CNS05","Manufacturing","Q1_low",500,0.427887655641854
"CNS05","Manufacturing","Q1_low",550,0.467337147680517
"CNS05","Manufacturing","Q1_low",600,0.52400803256444
"CNS05","Manufacturing","Q1_low",650,0.541964141252052
"CNS05","Manufacturing","Q1_low",700,0.572484256889217
"CNS05","Manufacturing","Q1_low",750,0.656172454780814
"CNS05","Manufacturing","Q1_low",800,0.70294301069983
"CNS05","Manufacturing","Q1_low",850,0.728963000362668
"CNS05","Manufacturing","Q1_low",900,0.757200104550928
"CNS05","Manufacturing","Q1_low",950,0.757103941281634
"CNS05","Manufacturing","Q1_low",1000,0.790199673853563
"CNS05","Manufacturing","Q1_low",1050,0.800625848416758
"CNS05","Manufacturing","Q1_low",1100,0.812078592811674
"CNS05","Manufacturing","Q1_low",1150,0.826012080342284
"CNS05","Manufacturing","Q1_low",1200,0.865493053464256
"CNS05","Manufacturing","Q1_low",1250,0.883977242821558
"CNS05","Manufacturing","Q1_low",1300,0.891773619698508
"CNS05","Manufacturing","Q1_low",1350,0.921393288118096
"CNS05","Manufacturing","Q1_low",1400,0.926019632911463
"CNS05","Manufacturing","Q1_low",1450,0.935466542695078
"CNS05","Manufacturing","Q1_low",1500,0.937766951085421
"CNS05","Manufacturing","Q1_low",1550,0.941081616169116
"CNS05","Manufacturing","Q1_low",1600,0.941660180523957
"CNS05","Manufacturing","Q1_low",1650,0.948895913009494
"CNS05","Manufacturing","Q1_low",1700,0.960644052076888
"CNS05","Manufacturing","Q1_low",1750,0.968316275467678
"CNS05","Manufacturing","Q1_low",1800,0.976364464059226
"CNS05","Manufacturing","Q1_low",1850,0.97737514399499
"CNS05","Manufacturing","Q1_low",1900,0.967278719517574
"CNS05","Manufacturing","Q1_low",1950,0.977422300487246
"CNS05","Manufacturing","Q1_low",2000,0.997171386501445
"CNS05","Manufacturing","Q1_low",2050,0.99813421288145
"CNS05","Manufacturing","Q1_low",2100,1.00349816548026
"CNS05","Manufacturing","Q1_low",2150,1.00283650493582
"CNS05","Manufacturing","Q1_low",2200,1.01863653429792
"CNS05","Manufacturing","Q1_low",2250,1.01444505378173
"CNS05","Manufacturing","Q1_low",2300,1.01040061741571
"CNS05","Manufacturing","Q1_low",2350,1.01821621463163
"CNS05","Manufacturing","Q1_low",2400,1.01214836367903
"CNS05","Manufacturing","Q1_low",2450,1.01840585839718
"CNS05","Manufacturing","Q1_low",2500,1.03394399298748
"CNS05","Manufacturing","Q1_low",2550,1.03368860900721
"CNS05","Manufacturing","Q1_low",2600,1.02060280600299
"CNS05","Manufacturing","Q1_low",2650,1.02494822309756
"CNS05","Manufacturing","Q1_low",2700,1.04070356344381
"CNS05","Manufacturing","Q1_low",2750,1.05029094470082
"CNS05","Manufacturing","Q1_low",2800,1.05679496313196
"CNS05","Manufacturing","Q1_low",2850,1.06615363381818
"CNS05","Manufacturing","Q1_low",2900,1.05706320938178
"CNS05","Manufacturing","Q1_low",2950,1.05892428349696
"CNS05","Manufacturing","Q1_low",3000,1.06207932488869
"CNS05","Manufacturing","Q1_low",3050,1.06726557796947
"CNS05","Manufacturing","Q1_low",3100,1.07970978449197
"CNS05","Manufacturing","Q1_low",3150,1.08397699003175
"CNS05","Manufacturing","Q1_low",3200,1.07092138421495
"CNS05","Manufacturing","Q1_low",3250,1.06773311843648
"CNS05","Manufacturing","Q1_low",3300,1.0689152929106
"CNS05","Manufacturing","Q1_low",3350,1.07031686350496
"CNS05","Manufacturing","Q1_low",3400,1.06917628373754
"CNS05","Manufacturing","Q1_low",3450,1.0678788077771
"CNS05","Manufacturing","Q1_low",3500,1.07073336945996
"CNS05","Manufacturing","Q1_low",3550,1.07761890249155
"CNS05","Manufacturing","Q1_low",3600,1.07794333051672
"CNS05","Manufacturing","Q1_low",3650,1.08460711393276
"CNS05","Manufacturing","Q1_low",3700,1.08210484836889
"CNS05","Manufacturing","Q1_low",3750,1.08452726536724
"CNS05","Manufacturing","Q1_low",3800,1.0817640068681
"CNS05","Manufacturing","Q1_low",3850,1.08171524525238
"CNS05","Manufacturing","Q1_low",3900,1.07395292464492
"CNS05","Manufacturing","Q1_low",3950,1.07268831936197
"CNS05","Manufacturing","Q1_low",4000,1.07618526953542
"CNS05","Manufacturing","Q1_low",4050,1.0890626701684
"CNS05","Manufacturing","Q1_low",4100,1.0888166265581
"CNS05","Manufacturing","Q1_low",4150,1.09146389292089
"CNS05","Manufacturing","Q1_low",4200,1.09527328056217
"CNS05","Manufacturing","Q1_low",4250,1.09940978524708
"CNS05","Manufacturing","Q1_low",4300,1.09499793587427
"CNS05","Manufacturing","Q1_low",4350,1.09788776065232
"CNS05","Manufacturing","Q1_low",4400,1.09678602206224
"CNS05","Manufacturing","Q1_low",4450,1.09476877984709
"CNS05","Manufacturing","Q1_low",4500,1.09735736132809
"CNS05","Manufacturing","Q1_low",4550,1.09278531049749
"CNS05","Manufacturing","Q1_low",4600,1.09350296915622
