"tract","density_q","distance_to_centroid"
"25001010100","Q1_low",4.93142497445018
"25001010206","Q1_low",4.62008287116211
"25001010208","Q1_low",5.77736555775518
"25001010304","Q1_low",4.5845040188574
"25001010306","Q1_low",4.16484423992703
"25001010400","Q2",3.71924229833808
"25001010500","Q1_low",5.69234265979279
"25001010600","Q1_low",5.53435135469036
"25001010700","Q1_low",4.02053251052619
"25001010800","Q1_low",5.55189068464861
"25001010900","Q1_low",6.5809980249684
"25001011002","Q1_low",4.42910434594127
"25001011100","Q1_low",5.47931263627927
"25001011200","Q1_low",7.78884189119091
"25001011300","Q1_low",3.61615631151509
"25001011400","Q1_low",5.46174276425306
"25001011500","Q2",6.25498102002919
"25001011600","Q2",5.78895338810551
"25001011700","Q1_low",5.93374819635444
"25001011801","Q1_low",5.87660126066636
"25001011802","Q1_low",8.00602399635582
"25001012001","Q2",6.19074141538909
"25001012002","Q2",5.77705894817974
"25001012101","Q1_low",5.51024736644879
"25001012102","Q2",5.26752926040198
"25001012200","Q1_low",4.36888730445464
"25001012502","Q1_low",6.53069306822108
"25001012601","Q2",5.69822146612871
"25001012602","Q2",6.01318336241658
"25001012700","Q1_low",5.22639607753525
"25001012800","Q1_low",5.33183501395181
"25001012900","Q1_low",5.40044218265357
"25001013002","Q2",4.09661813662105
"25001013100","Q1_low",4.95315397140269
"25001013200","Q1_low",4.70369995314015
"25001013300","Q2",6.17674045235053
"25001013400","Q1_low",6.11570677347426
"25001013500","Q1_low",6.1025440056186
"25001013600","Q2",3.08804638952504
"25001013700","Q1_low",3.98286924699993
"25001013800","Q2",4.82727207213552
"25001013900","Q1_low",6.27183585073768
"25001014002","Q1_low",3.91167140532055
"25001014100","Q1_low",5.59290153163876
"25001014300","Q1_low",4.5221057530297
"25001014402","Q1_low",5.17964248486513
"25001014500","Q1_low",5.22556465447073
"25001014600","Q1_low",4.46513166421155
"25001014700","Q2",5.87820292498548
"25001014800","Q3",4.68263465520796
"25001014900","Q2",6.0751975142403
"25001015001","Q1_low",4.34895971535821
"25001015002","Q1_low",5.49737470219948
"25001015100","Q2",4.50921220744637
"25001015200","Q1_low",7.80083631822495
"25001015300","Q4_high",5.62378906581746
"25003900100","Q4_high",5.95957104580991
"25003900200","Q4_high",8.3424773459733
"25003900300","Q1_low",5.43355135205878
"25003900400","Q1_low",5.43366222555746
"25003900500","Q1_low",7.78356327620613
"25003900600","Q3",6.52942084268127
"25003900700","Q2",5.251842547246
"25003900800","Q1_low",5.43246101115067
"25003900900","Q3",5.90978192184632
"25003901100","Q2",7.49973596436719
"25003911100","Q1_low",4.57433244711503
"25003912100","Q1_low",4.15940792114054
"25003913100","Q1_low",5.92710792056773
"25003914100","Q1_low",5.10147081459131
"25003920101","Q1_low",7.45107471807164
"25003920102","Q1_low",7.90574264436348
"25003921300","Q1_low",4.17563595595508
"25003921400","Q1_low",7.2430759127072
"25003921500","Q1_low",4.22049861634103
"25003922100","Q2",5.49540582106662
"25003922200","Q1_low",6.36468494752118
"25003922300","Q1_low",4.74578123193387
"25003923100","Q1_low",6.18248755643835
"25003924100","Q1_low",7.26831822965287
"25003925101","Q1_low",5.32574386341244
"25003925102","Q1_low",6.14738494868957
"25003926100","Q1_low",7.06807772692898
"25003931100","Q1_low",8.08677259981459
"25003931400","Q1_low",6.00481974609038
"25003932200","Q1_low",7.08064875766436
"25003932300","Q1_low",3.42381822528462
"25003933200","Q1_low",3.89787486430742
"25003933300","Q1_low",4.72598804264707
"25003933400","Q1_low",4.96863703439996
"25003934200","Q1_low",5.1856877672092
"25003934300","Q1_low",5.19559580183551
"25003935100","Q1_low",6.0921492263586
"25003935200","Q3",6.19877379214086
"25003935300","Q3",7.04738971083179
"25005600100","Q1_low",5.82545048927902
"25005600202","Q2",5.98441624637029
"25005600203","Q1_low",5.17634495908053
"25005600204","Q1_low",5.65888423356698
"25005610100","Q3",3.84746708895295
"25005610202","Q3",7.57260493215635
"25005610203","Q1_low",2.9437818544434
"25005610204","Q2",7.06523757074319
"25005611101","Q1_low",6.95941204070497
"25005611102","Q1_low",5.78635509031266
"25005611201","Q1_low",5.76611943161537
"25005611202","Q2",6.65531287979799
"25005612100","Q2",6.39792963839074
"25005612201","Q1_low",4.23547526444753
"25005612202","Q2",5.00621324682197
"25005613100","Q3",10.0332228664798
"25005613300","Q1_low",6.31048468295284
"25005613400","Q1_low",5.52014048707957
"25005613600","Q2",6.03830157346117
"25005613700","Q3",5.97162204641236
"25005613800","Q4_high",5.43771990942613
"25005613901","Q2",6.30197288159202
"25005613902","Q2",7.28740035413849
"25005614000","Q2",6.24916841511245
"25005614101","Q2",7.05111548783216
