"unique_from","unique_to"
1,3
1,19
1,23
1,26
3,19
3,23
3,26
19,23
19,26
23,26
1,9
1,10
1,11
1,34
1,93
1,99
3,9
3,10
3,11
3,34
3,93
3,99
9,10
9,11
9,26
9,34
9,93
9,99
10,11
10,26
10,34
10,93
10,99
11,26
11,34
11,93
11,99
26,34
26,93
26,99
34,93
34,99
93,99
1,2
1,4
1,5
1,7
1,8
1,20
1,69
1,146
2,4
2,5
2,7
2,8
2,9
2,10
2,20
2,26
2,69
2,146
4,5
4,7
4,8
4,9
4,10
4,20
4,26
4,69
4,146
5,7
5,8
5,9
5,10
5,20
5,26
5,69
5,146
7,8
7,9
7,10
7,20
7,26
7,69
7,146
8,9
8,10
8,20
8,26
8,69
8,146
9,20
9,69
9,146
10,20
10,69
10,146
20,26
20,69
20,146
26,69
26,146
69,146
1,12
1,16
1,68
1,156
2,12
2,16
2,68
2,156
4,12
4,16
4,68
4,156
5,12
5,16
5,68
5,156
8,12
8,16
8,68
8,156
12,16
12,26
12,68
12,156
16,26
16,68
16,156
26,68
26,156
68,156
1,24
1,36
8,24
8,36
16,24
16,36
24,36
1,40
3,8
3,12
3,16
3,24
3,36
3,40
3,68
8,40
10,12
10,16
10,24
10,36
10,40
10,68
12,24
12,36
12,40
16,40
24,26
24,40
24,68
26,36
26,40
36,40
36,68
40,68
2,11
2,23
4,11
4,23
7,11
7,16
7,23
7,68
8,11
8,23
11,16
11,23
11,68
16,23
23,68
4,34
7,34
8,34
2,22
4,22
5,22
5,23
7,22
9,22
9,23
22,23
22,146
23,146
1,18
1,154
5,18
5,154
8,18
8,154
10,18
10,154
12,18
12,154
18,68
18,154
68,154
1,72
1,35
1,147
2,35
2,147
4,35
4,147
9,16
9,35
9,147
10,23
10,35
10,147
11,35
11,69
11,146
11,147
16,35
16,69
16,146
16,147
23,35
23,69
23,147
26,35
26,147
35,69
35,146
35,147
69,147
146,147
1,6
1,62
3,4
3,6
3,7
3,62
3,72
4,6
4,62
4,72
6,7
6,8
6,11
6,26
6,62
6,72
7,62
7,72
8,62
8,72
11,62
11,72
26,62
26,72
62,72
1,42
26,42
42,62
3,5
5,11
7,18
7,154
18,146
146,154
2,50
2,78
2,82
4,50
4,78
4,82
7,50
7,78
7,82
16,50
16,78
16,82
50,68
50,78
50,82
68,78
68,82
78,82
1,14
1,27
1,29
8,14
8,27
8,29
8,42
14,26
14,27
14,29
14,42
14,62
26,27
26,29
27,29
27,42
27,62
29,42
29,62
3,18
3,146
4,18
11,18
18,23
1,111
1,112
1,152
8,111
8,112
8,152
24,62
24,111
24,112
24,152
62,111
62,112
62,152
111,112
111,152
112,152
1,113
3,113
8,113
12,34
12,113
24,34
24,113
34,36
34,68
34,113
36,113
68,113
1,65
8,65
9,18
9,65
9,154
10,65
18,34
18,65
34,65
34,154
65,154
1,57
1,78
3,57
3,78
12,57
12,78
26,57
26,78
57,68
57,78
2,99
5,99
23,99
1,75
3,75
19,75
23,75
26,75
4,19
4,113
5,19
5,78
5,113
7,12
7,19
7,113
7,156
9,12
9,19
9,68
9,78
9,113
9,156
11,12
11,19
11,78
11,113
11,156
12,19
16,19
16,113
19,68
19,78
19,113
19,156
26,113
78,113
78,156
113,156
2,18
2,27
2,72
2,93
4,27
4,93
8,93
9,27
9,72
10,27
10,72
18,26
18,27
18,72
18,93
27,72
27,93
27,146
72,93
72,146
93,146
2,46
5,46
5,82
12,46
12,82
16,46
46,68
46,78
46,82
46,156
82,156
1,87
3,87
7,87
12,87
16,87
68,87
2,19
2,28
4,28
4,46
16,28
19,28
19,46
19,50
26,28
26,46
26,50
28,46
28,50
28,68
28,78
28,156
46,50
50,156
1,46
5,27
5,36
8,46
12,27
16,27
27,36
27,46
27,68
36,46
19,146
19,147
50,146
50,147
2,6
2,47
2,104
2,107
6,16
6,22
6,47
6,50
6,78
6,104
6,107
7,47
7,104
7,107
11,22
11,47
11,50
11,104
11,107
16,22
16,47
16,104
16,107
22,47
22,50
22,78
22,104
22,107
47,50
47,78
47,104
47,107
50,104
50,107
78,104
78,107
104,107
1,22
2,154
4,154
8,22
10,22
22,26
22,68
22,154
26,154
68,146
1,103
62,93
62,103
72,103
93,103
1,50
1,104
3,22
3,29
3,42
3,50
3,104
3,156
5,29
5,34
5,42
5,50
5,93
5,104
9,29
9,42
9,50
9,104
11,29
11,42
12,22
12,23
12,29
12,42
12,50
12,93
12,104
19,22
19,29
19,34
19,42
19,93
19,104
22,29
22,34
22,42
22,93
22,156
23,29
23,34
23,42
23,50
23,93
23,104
23,156
29,34
29,50
29,93
29,104
29,156
34,42
34,50
34,104
34,156
42,50
42,93
42,104
42,156
50,93
93,104
93,156
104,156
16,42
16,62
24,42
6,27
6,82
27,82
12,95
12,103
57,95
57,103
95,103
9,44
9,118
19,44
19,118
22,44
22,118
34,44
34,118
44,104
44,118
104,118
11,28
11,37
11,117
11,150
16,37
16,117
16,150
19,37
19,117
19,150
26,37
26,117
26,150
28,37
28,117
28,147
28,150
37,50
37,78
37,117
37,147
37,150
37,156
50,117
50,150
78,117
78,147
78,150
117,147
117,150
117,156
147,150
147,156
150,156
6,24
6,46
6,66
6,87
24,46
24,66
24,87
46,66
46,87
66,87
8,44
9,152
34,152
44,65
44,152
44,154
65,152
152,154
2,149
16,20
16,149
19,20
19,149
20,23
20,149
20,156
23,149
26,149
146,149
146,156
149,156
2,63
4,63
16,63
63,156
1,41
1,44
3,41
3,44
3,69
5,41
5,44
7,41
7,44
8,41
8,104
9,41
10,41
10,44
10,104
11,41
11,44
22,41
22,69
34,41
34,69
41,44
41,69
41,104
44,69
69,104
1,107
4,107
68,107
107,146
2,34
2,59
2,60
2,65
5,59
5,60
5,65
8,59
8,60
10,59
10,60
27,34
27,59
27,60
27,65
34,59
34,60
59,60
59,65
60,65
17,21
17,28
17,77
17,107
17,117
17,146
21,28
21,77
21,107
21,117
21,146
28,77
28,107
28,146
77,107
77,117
77,146
107,117
117,146
1,17
1,149
8,17
8,107
8,149
9,17
9,107
9,149
10,17
10,107
10,149
11,17
11,149
17,23
17,34
17,69
17,149
23,107
34,107
34,149
69,107
69,149
107,149
4,41
34,62
41,62
3,103
26,103
1,15
2,15
2,40
2,42
6,9
6,10
6,15
6,19
6,23
6,40
6,42
6,149
7,15
7,40
7,42
7,149
8,15
8,19
8,50
9,15
9,40
10,15
10,19
10,42
10,50
11,15
11,40
15,16
15,19
15,23
15,26
15,40
15,42
15,50
15,104
15,149
19,40
23,40
26,104
40,42
40,50
40,104
40,149
42,149
50,149
104,149
1,84
1,96
1,118
3,84
3,96
3,118
9,84
9,96
10,84
10,96
10,118
12,84
12,96
12,118
12,146
19,84
19,96
22,84
22,96
34,84
34,96
34,146
84,93
84,96
84,118
84,146
93,96
93,118
96,118
96,146
118,146
4,17
4,149
8,147
17,26
17,147
147,149
1,13
10,13
13,26
13,34
13,93
13,99
1,70
3,13
3,70
10,70
12,13
12,70
12,72
13,18
13,24
13,70
13,72
18,24
18,70
24,70
24,72
70,72
8,138
9,60
9,62
9,138
27,138
34,138
60,62
60,138
62,65
62,138
65,138
16,48
46,48
46,113
48,68
48,82
48,113
48,156
82,113
4,24
5,24
27,113
1,60
4,14
4,57
4,60
4,65
5,6
5,14
5,57
5,62
6,14
6,57
6,60
6,65
6,68
8,57
14,57
14,60
14,65
14,68
26,60
26,65
27,57
57,60
57,62
57,65
60,68
62,68
65,68
6,71
6,85
6,105
71,78
71,85
71,105
78,85
78,105
85,105
1,32
1,47
4,32
4,42
4,44
4,47
6,12
6,32
6,44
6,146
7,32
9,32
9,47
11,32
12,32
12,44
12,47
16,32
16,44
19,32
19,47
22,32
23,32
23,44
23,47
23,78
26,32
26,44
26,47
32,42
32,44
32,47
32,50
32,78
32,146
42,44
42,47
42,78
42,146
44,47
44,50
44,78
44,146
47,146
78,146
1,105
29,78
29,105
1,106
4,36
4,80
16,80
36,50
36,80
50,80
1,116
15,116
26,116
1,85
15,85
26,85
1,77
6,17
6,77
6,84
8,32
8,77
8,84
10,32
10,46
10,77
11,46
11,77
11,84
16,17
16,77
16,84
17,19
17,32
17,42
17,46
17,84
19,77
32,46
32,77
32,84
42,46
42,77
42,84
46,77
46,84
77,84
1,71
4,29
4,71
4,85
6,29
16,29
16,71
16,85
17,29
17,71
17,78
17,85
29,71
29,85
2,25
2,37
2,139
4,25
4,37
4,139
16,25
16,139
25,37
25,82
25,139
37,82
37,139
82,139
7,24
7,59
24,59
24,154
59,68
59,154
44,68
44,113
113,154
9,33
9,155
22,33
22,155
33,34
33,47
33,118
33,155
34,47
34,155
47,118
47,155
118,155
9,117
117,149
4,79
4,117
79,117
6,81
15,17
15,71
15,81
15,84
16,81
17,81
19,71
19,81
71,81
71,84
81,84
1,28
1,117
5,28
5,117
5,147
9,28
22,28
22,117
22,147
23,28
23,117
2,48
2,116
2,158
48,116
48,158
116,158
1,122
2,84
2,122
5,84
5,122
16,93
16,122
19,27
19,122
27,84
27,122
84,122
93,122
20,22
19,48
19,82
48,50
48,78
4,87
5,87
11,87
16,34
16,51
19,35
19,51
27,35
27,51
34,35
34,46
34,51
35,46
35,51
35,84
46,51
51,84
68,93
8,28
8,78
12,28
19,36
36,42
6,113
16,57
19,57
27,78
29,57
29,68
29,113
57,113
8,35
29,36
1,158
19,158
29,158
42,158
78,158
1,82
22,82
82,146
2,36
9,36
16,18
16,154
18,19
18,36
19,154
23,36
23,154
36,146
36,154
1,53
3,53
3,154
8,53
10,53
12,53
24,53
24,93
26,53
53,68
53,93
53,154
93,154
1,137
5,118
5,137
5,149
8,118
8,137
19,137
22,137
22,149
29,44
29,118
29,137
29,149
34,137
44,137
44,149
104,137
118,137
118,149
137,149
4,84
4,122
6,122
8,122
9,122
11,27
11,122
26,84
26,122
42,122
62,84
62,122
29,35
29,84
27,69
69,93
6,64
16,64
16,66
64,66
64,71
64,85
66,71
66,85
7,60
7,117
8,117
10,117
22,60
34,117
41,60
41,117
44,60
44,117
60,117
16,116
27,85
27,116
35,85
35,116
85,116
1,83
16,83
26,83
42,83
28,35
4,104
22,27
27,104
68,104
14,34
14,59
15,32
15,34
15,107
32,34
32,107
7,28
14,44
14,154
25,48
24,27
3,28
10,28
10,78
15,27
15,36
15,122
36,84
36,122
16,41
19,41
19,62
26,41
27,41
27,44
41,42
41,113
42,113
44,62
62,113
7,147
6,35
8,71
14,16
14,35
14,71
27,71
35,42
35,44
35,62
35,68
35,71
42,68
42,71
44,71
62,71
68,71
4,114
63,79
63,114
79,114
79,156
114,156
12,35
16,30
28,29
28,30
28,63
29,30
29,63
30,63
10,62
12,62
35,93
62,69
5,53
18,53
8,150
29,107
29,150
44,107
44,150
104,150
107,118
107,150
118,150
11,60
22,62
60,69
60,104
62,104
62,117
69,117
104,117
33,96
47,96
10,152
34,72
35,72
35,152
35,154
44,72
62,154
68,72
68,152
72,152
72,154
1,119
3,119
6,34
6,119
7,119
8,119
9,24
9,119
10,119
11,24
11,119
12,119
24,119
34,40
34,119
40,72
40,119
72,119
41,154
60,154
7,27
21,81
77,81
15,106
19,106
26,106
5,61
8,61
10,61
60,61
60,93
61,65
61,93
65,93
3,35
24,35
4,150
35,150
71,150
84,150
9,55
9,109
9,148
19,55
19,109
19,148
55,109
55,148
109,148
1,43
5,17
5,43
5,96
5,103
9,43
9,103
17,43
17,65
17,93
17,96
17,103
19,43
19,65
19,103
23,43
23,65
23,96
23,103
43,65
43,93
43,96
43,103
43,146
65,96
65,103
65,146
96,103
103,146
7,46
24,28
28,34
28,40
40,46
7,13
9,13
11,13
13,40
18,40
8,87
27,87
34,87
60,87
87,93
5,21
5,32
5,81
5,107
9,21
9,81
11,21
11,36
11,81
16,21
19,21
19,107
21,22
21,23
21,32
21,36
21,42
21,50
21,84
22,36
22,81
23,81
23,84
32,36
32,81
36,81
36,107
42,81
42,107
50,81
50,84
81,107
84,107
1,136
3,136
5,136
7,53
7,93
7,136
10,136
12,136
16,53
16,136
26,136
53,136
68,136
93,136
26,82
27,28
1,126
1,129
6,111
6,126
6,129
7,111
7,126
7,129
72,111
72,126
72,129
111,126
111,129
126,129
6,93
6,154
10,113
24,32
27,32
27,154
32,68
32,93
32,113
32,154
93,113
1,128
6,128
62,128
72,128
111,128
14,116
29,116
27,156
29,46
36,78
36,156
20,44
20,78
7,36
10,33
33,35
9,87
10,87
42,69
42,87
42,119
69,87
69,119
87,119
4,118
16,118
29,41
29,117
29,146
41,50
41,84
41,118
41,146
44,84
50,118
84,104
84,117
104,146
117,118
8,30
27,30
5,72
36,44
36,72
7,29
7,118
28,41
