"seed","ari","nmi","n_vertices","n_communities"
1,0.0364376770395387,0.0482324824155959,156,13
2,0.0350876167092164,0.0462532240082061,160,13
3,0.0261051559884852,0.0436923046345657,157,13
4,0.0304715042212411,0.0527160083748185,150,14
5,0.0332416532977997,0.0426419022949115,162,14
6,0.0201533096716064,0.0332328224931537,154,12
7,0.0142355115320679,0.0302309301462641,170,13
8,0.0274040445266608,0.0385528291053372,158,15
9,0.0270035072064034,0.0378845681290787,151,14
10,0.0220464329284879,0.0322422177245599,151,13
11,0.0437066273859962,0.0522733517079171,155,14
12,0.0302177797567533,0.0383344124513837,156,13
13,0.0346529430317317,0.0397947227618922,161,13
14,0.00950265169537967,0.0254092273515954,149,13
15,0.0393249566692077,0.0493548823398393,155,13
16,0.0198769036079604,0.0382356353501805,160,14
17,0.0267574628551843,0.0505600633896514,148,14
18,0.0299985430635024,0.0388898077086262,160,13
19,0.0242223447433174,0.039684054446566,154,13
20,0.0251628439816958,0.036138657412255,150,15
21,0.020499625012107,0.0280987778359028,159,13
22,0.0300433176802792,0.047132666386208,156,14
23,0.0255235358337408,0.0409472609617718,153,14
24,0.0454566856637885,0.0557858501138096,161,14
25,0.0477870603753995,0.0564835560593156,154,12
26,0.0162158777399871,0.0482574581599729,163,13
27,0.0257789261189905,0.0431061521872891,160,13
28,0.0303222528685179,0.0470216095094948,153,15
29,0.0422615664261424,0.0569699505529054,160,13
30,0.0172762000157994,0.0330431743189171,151,12
31,0.0167268899205086,0.0308431365097683,153,15
32,0.00595625654527408,0.0329267377483635,146,14
33,0.0274790511845914,0.044831871776275,156,12
34,0.0272412892528686,0.0480058345465538,157,14
35,0.0334991653938608,0.0450871905609844,160,14
36,0.018733281441295,0.0267166633578801,164,13
37,0.0233344943633096,0.0395637728081183,152,13
38,0.0178501634907742,0.041923929925648,145,13
39,0.00573365730061799,0.0195821800372665,146,15
40,0.0126271168859408,0.0319522639247406,160,15
41,0.0276730947180512,0.0470854761026826,159,14
42,0.0477272940935394,0.0531780008950467,153,14
43,0.0257145011035797,0.0355578643213584,163,13
44,0.0261729302377298,0.0445228352275422,153,14
45,0.0384647315628079,0.0566229331186341,159,13
46,0.0287232236853056,0.0397322565208827,146,13
47,0.0183754037811984,0.0385216405453222,161,14
48,0.0213369614604158,0.044933138087236,150,13
49,0.0174213141961149,0.0329131638139365,156,14
50,0.0433336081071887,0.0578837038148304,158,13
