iteration,D_null_restricted
1,171.0725
2,172.90500000000003
3,150.735
4,276.6775
5,247.555
6,215.68750000000003
7,248.54999999999998
8,346.4325
9,265.02250000000004
10,209.515
11,201.36249999999998
12,299.9425
13,255.09249999999997
14,200.56249999999997
15,267.34
16,164.8375
17,225.3075
18,309.8125
19,344.4725
20,150.79749999999999
21,184.39
22,216.05
23,189.5125
24,192.81249999999997
25,172.3425
26,232.65249999999997
27,199.355
28,209.04
29,192.69
30,300.78000000000003
31,216.04999999999998
32,230.54249999999996
33,306.555
34,232.195
35,259.1825
36,224.66250000000002
37,211.78250000000003
38,205.385
39,199.85999999999999
40,218.84499999999997
41,225.6875
42,212.64
43,222.42000000000002
44,246.84249999999997
45,208.125
46,215.33749999999998
47,207.0725
48,211.48749999999998
49,126.69749999999999
50,213.41750000000002
51,250.6975
52,127.22749999999999
53,273.015
54,236.90000000000003
55,217.63250000000002
56,253.0675
57,186.01999999999998
58,173.14000000000001
59,183.32000000000002
60,211.87
61,285.0175
62,197.77749999999997
63,263.635
64,234.39749999999998
65,61.905
66,275.8225
67,206.5025
68,203.6225
69,251.84999999999997
70,271.9425
71,205.8675
72,213.12999999999997
73,211.72250000000003
74,235.62750000000003
75,187.6725
76,269.9475
77,252.08
78,192.26749999999998
79,236.875
80,296.145
81,126.54750000000001
82,262.77
83,190.1625
84,217.8125
85,235.54749999999999
86,186.7
87,172.4325
88,198.42000000000002
89,289.53499999999997
90,190.89750000000004
91,207.8275
92,232.195
93,102.965
94,287.2
95,99.99000000000001
96,272.72249999999997
97,244.98749999999998
98,156.70500000000004
99,341.555
100,77.88749999999999
101,163.65
102,271.285
103,260.8175
104,286.805
105,147.01
106,180.99499999999998
107,222.29999999999998
108,311.0025
109,259.1125
110,224.60250000000002
111,280.98
112,233.32
113,252.515
114,215.91249999999997
115,164.78500000000003
116,99.4425
117,214.99499999999998
118,364.095
119,288.15999999999997
120,218.7175
121,194.31250000000003
122,285.865
123,232.8775
124,167.35
125,284.2125
126,229.65
127,253.72500000000002
128,178.505
129,179.195
130,218.325
131,240.65749999999997
132,269.405
133,201.78
134,116.32249999999999
135,141.465
136,308.7075
137,314.02500000000003
138,187.52499999999998
139,182.14249999999998
140,241.38000000000002
141,214.14
142,297.30999999999995
143,160.06749999999997
144,252.6525
145,195.455
146,251.29249999999996
147,175.85750000000002
148,169.8375
149,278.9425
150,178.60000000000002
151,220.3675
152,169.8975
153,217.0675
154,183.995
155,112.99999999999997
156,151.3
157,238.5075
158,173.44
159,217.66249999999997
160,307.7425
161,217.24999999999997
162,146.24999999999997
163,176.73250000000002
164,231.54000000000002
165,145.22
166,220.9975
167,288.4425
168,270.355
169,135.1525
170,193.455
171,238.33250000000004
172,190.57500000000002
173,242.72249999999997
174,238.875
175,235.47250000000003
176,156.36499999999998
177,263.5375
178,232.87
179,195.925
180,221.54000000000002
181,221.53499999999997
182,177.99999999999997
183,256.66
184,238.7375
185,227.32
186,176.165
187,237.1275
188,244.98250000000002
189,139.6725
190,186.14249999999998
191,235.3275
192,260.97749999999996
193,271.8825
194,189.70749999999998
195,243.78500000000003
196,234.52750000000003
197,196.88500000000002
198,284.5375
199,182.64749999999998
200,195.21750000000003
201,252.83499999999998
202,129.28999999999996
203,173.60500000000002
204,179.61499999999998
205,176.66000000000003
206,154.73000000000002
207,106.16000000000003
208,142.73749999999998
209,309.53
210,205.62250000000003
211,154.3075
212,248.705
213,135.265
214,237.4375
215,202.79500000000002
216,193.0475
217,305.105
218,146.3375
219,215.38
220,198.635
221,232.3875
222,213.1525
223,236.9425
224,222.71250000000003
225,229.71250000000003
226,221.61499999999998
227,165.495
228,164.2
229,230.22000000000003
230,225.41750000000002
231,215.0725
232,228.71
233,159.90249999999997
234,279.1625
235,212.3025
236,196.19
237,235.505
238,257.27250000000004
239,246.99
