"sector","Q1_low","Q2","Q3","Q4_high"
"CNS01",433,137,48,54
"CNS02",33,8,12,6
"CNS03",81,66,57,97
"CNS04",4380,3520,2539,1955
"CNS05",980,958,913,998
"CNS06",1352,1445,1181,1381
"CNS07",2245,2529,2603,2824
"CNS08",653,716,692,739
"CNS09",819,898,863,1415
"CNS10",981,1255,1219,1607
"CNS11",933,1102,1028,1577
"CNS12",3164,3264,2665,3335
"CNS13",127,220,194,444
"CNS14",2045,1946,1523,1765
"CNS15",702,721,683,985
"CNS16",4435,5950,6692,5789
"CNS17",713,676,515,716
"CNS18",1657,1954,1987,2732
"CNS19",2773,3167,2886,3424
