"sector","D_obs","null_median_cr","p_restr","p_restr_BH","p_free_BH","sig_free","sig_restr","flipped"
"CNS12",0.045,0.0089,0.0024,0.0432,0.0024,TRUE,TRUE,"N"
"CNS05",0.1209,0.0244,0.0052,0.0468,0.0018,TRUE,TRUE,"N"
"CNS01",83.9767,6.1519,0.0098,0.054,0.0024,TRUE,FALSE,"Y"
"CNS06",0.0428,0.0111,0.012,0.054,0.004,TRUE,FALSE,"Y"
"CNS07",0.0331,0.0222,0.1995,0.3618,0.0169,TRUE,FALSE,"Y"
"CNS08",0.0929,0.0353,0.1601,0.3618,0.1598,FALSE,FALSE,"N"
"CNS09",0.0249,0.0102,0.107,0.3618,0.1598,FALSE,FALSE,"N"
"CNS13",0.0445,0.0212,0.1681,0.3618,0.3265,FALSE,FALSE,"N"
"CNS16",0.0319,0.0155,0.201,0.3618,0.3658,FALSE,FALSE,"N"
"CNS18",0.0079,0.0034,0.147,0.3618,0.3658,FALSE,FALSE,"N"
"CNS04",0.0609,0.0368,0.2252,0.3685,0.1538,FALSE,FALSE,"N"
"CNS14",0.0071,0.0043,0.2763,0.3826,0.4294,FALSE,FALSE,"N"
"CNS19",0.0287,0.0212,0.2716,0.3826,0.0396,TRUE,FALSE,"Y"
"CNS03",0.1392,0.1069,0.3813,0.4902,0.4423,FALSE,FALSE,"N"
"CNS10",0.0138,0.0129,0.4599,0.5519,0.6248,FALSE,FALSE,"N"
"CNS17",0.026,0.0276,0.531,0.5974,0.6199,FALSE,FALSE,"N"
"CNS11",0.0079,0.014,0.7521,0.7963,0.6948,FALSE,FALSE,"N"
"CNS15",0.0079,0.0279,0.9039,0.9039,0.8845,FALSE,FALSE,"N"
