"sector","Q1_low","Q2","Q3","Q4_high","total","share_Q1_low","share_Q2","share_Q3","share_Q4_high"
"CNS01",4449,3465,3067,1344,12325,0.361,0.281,0.249,0.109
"CNS02",500,90,141,95,826,0.605,0.109,0.171,0.115
"CNS03",1068,3209,1775,6013,12065,0.089,0.266,0.147,0.498
"CNS04",35904,46849,39633,49318,171704,0.209,0.273,0.231,0.287
"CNS05",33993,62676,75687,67449,239805,0.142,0.261,0.316,0.281
"CNS06",14975,23022,38357,45447,121801,0.123,0.189,0.315,0.373
"CNS07",42173,80052,91966,116592,330783,0.127,0.242,0.278,0.352
"CNS08",12545,20940,21589,39755,94829,0.132,0.221,0.228,0.419
"CNS09",4389,9793,13261,72174,99617,0.044,0.098,0.133,0.725
"CNS10",6682,15478,25658,122973,170791,0.039,0.091,0.15,0.72
"CNS11",4117,6492,8539,28033,47181,0.087,0.138,0.181,0.594
"CNS12",18297,39210,57174,257246,371927,0.049,0.105,0.154,0.692
"CNS13",2026,7794,14691,47507,72018,0.028,0.108,0.204,0.66
"CNS14",16863,31242,33616,101724,183445,0.092,0.17,0.183,0.555
"CNS15",15907,16895,21793,130037,184632,0.086,0.092,0.118,0.704
"CNS16",49227,97338,130102,344203,620870,0.079,0.157,0.21,0.554
"CNS17",11684,11534,12054,24137,59409,0.197,0.194,0.203,0.406
"CNS18",37555,60612,59905,133795,291867,0.129,0.208,0.205,0.458
"CNS19",16370,25115,26960,48911,117356,0.139,0.214,0.23,0.417
