"sector","D_obs","contrib"
"CNS05",0.1209,0.018848226710311
"CNS01",83.9767,0.270866073702523
"CNS12",0.045,0.0272327000463547
"CNS06",0.0428,0.0109670322791978
"CNS07",0.0331,0.0259099857560434
"CNS19",0.0287,0.00979116445538645
"CNS04",0.0609,0.191696634642038
"CNS08",0.0929,0.0158748120292614
"CNS09",0.0249,0.0598070588079308
"CNS13",0.0445,0.0681595465107403
"CNS16",0.0319,0.060871861184271
"CNS18",0.0079,0.0366768860646763
"CNS14",0.0071,0.00572011839990793
"CNS03",0.1392,0.011454580316798
"CNS17",0.026,0.0286756247015831
"CNS10",0.0138,0.0534981276527873
"CNS11",0.0079,0.0432818732076326
"CNS15",0.0079,0.0174586155743505
