sector,industry_name,D_obs,p_raw,p_BH,p_restricted,p_restricted_BH,composition_contribution,D_rank,composition_rank
CNS01,"Agriculture, Forestry, Fishing and Hunting",83.9766629963236,0.0004,0.0024,0.0098,0.054,0.27086607370252264,1,1
CNS03,Utilities,0.139204539756216,0.344,0.4423,0.3813,0.4902,0.011454580316798014,2,15
CNS05,Manufacturing,0.120851752215448,0.0001,0.0018,0.0052,0.0468,0.018848226710310965,3,12
CNS08,Transportation and Warehousing,0.0928719148735559,0.0752,0.1598,0.1601,0.3618,0.015874812029261384,4,14
CNS04,Construction,0.0608794091254612,0.0598,0.1538,0.2252,0.3685,0.19169663464203804,5,2
CNS12,"Professional, Scientific and Technical Services",0.0450462346696877,0.0003,0.0024,0.0024,0.0432,0.0272327000463547,6,10
CNS13,Management of Companies and Enterprises,0.044491020817295,0.1814,0.3265,0.1681,0.3618,0.06815954651074033,7,3
CNS06,Wholesale Trade,0.0428159989528325,0.0009,0.004,0.012,0.054,0.010967032279197828,8,16
CNS07,Retail Trade,0.033069096701813,0.0047,0.0169,0.1995,0.3618,0.025909985756043415,9,11
CNS16,Health Care and Social Assistance,0.0318777250087228,0.2439,0.3658,0.201,0.3618,0.06087186118427106,10,4
CNS19,Other Services (except Public Administration),0.0286972734334024,0.0132,0.0396,0.2716,0.3826,0.009791164455386437,11,17
CNS17,"Arts, Entertainment and Recreation",0.0259782159549426,0.5166,0.6199,0.531,0.5974,0.0286756247015831,12,9
CNS09,Information,0.0249411122525844,0.0799,0.1598,0.107,0.3618,0.05980705880793083,13,5
CNS10,Finance and Insurance,0.0137904927793632,0.5554,0.6248,0.4599,0.5519,0.05349812765278727,14,6
CNS11,Real Estate and Rental and Leasing,0.0079150653619176,0.6562,0.6948,0.7521,0.7963,0.04328187320763264,15,7
CNS15,Educational Services,0.007901615545908,0.8845,0.8845,0.9039,0.9039,0.01745861557435051,16,13
CNS18,Accommodation and Food Services,0.0078948278366073,0.2357,0.3658,0.147,0.3618,0.03667688606467629,17,8
CNS14,Administrative and Support and Waste Management,0.0070956941176543,0.3101,0.4294,0.2763,0.3826,0.005720118399907931,18,18
